"2022/12/03 11:52:58 AM GMT+5:30","Female","Western Province","1.3959","P1","A/Levels","Yes","more than 3 years","Yes","C","Yes","No","Good","Good","Good","Good","No","No","None","Weak","C","B","No","","No","Average","Fair","Fair","Fair","Average",""
"2022/12/03 11:59:21 AM GMT+5:30","Male","North-Western Province","1.3088","IS & MF","Degree","Yes","more than 3 years","Yes","A","No","Yes","Very good","Good","Good","Good","Yes","No","Python","Average","A","B","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/03 12:04:11 PM GMT+5:30","Female","Western Province","1.4434","P1","Diploma","Yes","more than 3 years","Yes","A","No","Yes","Average","Average","Average","Average","No","Yes","None","Weak","A","A","Yes","B","No","Good","Very good","Very good","Very good","Good",""
"2022/12/03 12:08:00 PM GMT+5:30","Male","Western Province","1.6","P1","Degree","Yes","more than 3 years","No","","No","Yes","Average","Average","Average","Weak","No","Yes","Python","Weak","A","A","No","","No","Average","Excellent","Excellent","Excellent","Good",""
"2022/12/03 12:10:12 PM GMT+5:30","Male","Western Province","1.9163","P2","A/Levels","Yes","more than 3 years","Yes","A","Yes","Yes","Good","Good","Good","Average","No","Yes","None","Weak","A","A","No","","Yes","Good","Excellent","Excellent","Excellent","Very good",""
"2022/12/03 12:20:44 PM GMT+5:30","Female","Western Province","1.4761","P2","O/Levels or Below","Yes","more than 3 years","No","","Yes","Yes","Good","Good","Good","Good","No","No","None","Weak","A","A","No","","No","Good","Satisfactory","Satisfactory","Satisfactory","Good",""
"2022/12/03 12:56:15 PM GMT+5:30","Female","Southern Province","1.620","Bio","A/Levels","Yes","more than 3 years","No","","Yes","Yes","Very good","Good","Very good","Average","No","Yes","Python;I'm studying now","Weak","A","A","Yes","B","No","Average","Satisfactory","Satisfactory","Satisfactory","Good","Speaking training should be include to the english lectures "
"2022/12/03 1:05:05 PM GMT+5:30","Female","Western Province","1.5023","Bio","O/Levels or Below","Yes","more than 3 years","No","","No","Yes","Good","Good","Good","Good","No","Yes","Python","Average","A","A","No","","No","Average","Satisfactory","Satisfactory","Fair","Average",""
"2022/12/03 1:17:59 PM GMT+5:30","Male","Sabaragamuwa Province","1.6201","P3","A/Levels","Yes","more than 3 years","Yes","A","Yes","Yes","Very good","Very good","Very good","Very good","Yes","Yes","Python;Java;JavaScript","Very good","A","A","Yes","B","No","Very good","Very good","Very good","Very good","Very good",""
"2022/12/03 1:30:50 PM GMT+5:30","Female","Western Province","1.3682","P4","A/Levels","Yes","Less than one year","Yes","A","Yes","No","Average","Average","Average","Average","No","Yes","C#","Average","A","C","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Weak",""
"2022/12/03 2:53:16 PM GMT+5:30","Female","Central Province","1.2909","P4","O/Levels or Below","No","Less than one year","No","","Yes","Yes","Average","Weak","Weak","Weak","No","Yes","None","Very weak","S","W","No","","No","Average","Satisfactory","Satisfactory","Poor","Very weak",""
"2022/12/03 2:54:09 PM GMT+5:30","Male","Western Province","1.5244","IS & MF","A/Levels","Yes","more than 3 years","No","","No","Yes","Good","Good","Good","Very good","No","Yes","Python","Average","A","C","No","","No","Good","Very good","Excellent","Very good","Average",""
"2022/12/03 2:54:37 PM GMT+5:30","Male","Western Province","1.6","P6","Degree","Yes","1-3 years","No","","No","Yes","Average","Average","Average","Weak","Yes","Yes","Python","Average","A","A","Yes","A","No","Very good","Excellent","Excellent","Excellent","Very good",""
"2022/12/03 2:56:42 PM GMT+5:30","Female","Western Province","1.4091","P6","A/Levels","Yes","Less than one year","No","","Yes","Yes","Average","Average","Average","Average","No","Yes","Python","Weak","A","A","No","","No","Good","Satisfactory","Very good","Satisfactory","Average","Want to improve english speaking "
"2022/12/03 2:57:46 PM GMT+5:30","Male","Western Province","1.7","P3","Higher","Yes","more than 3 years","Yes","A","No","Yes","Very good","Very good","Good","Very good","No","Yes","Python","Good","A","A","Yes","A","No","Very weak","Excellent","Excellent","Excellent","Very good",""
"2022/12/03 3:14:28 PM GMT+5:30","Male","Sabaragamuwa Province","1.3258","P2","Degree","Yes","1-3 years","Yes","A","No","Yes","Very good","Good","Very good","Good","No","Yes","Python","Weak","A","C","Yes","C","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/03 4:08:21 PM GMT+5:30","Female","Western Province","1.5252","P6","A/Levels","Yes","more than 3 years","Yes","A","No","No","Average","Average","Average","Average","No","No","None","Weak","A","A","No","","No","Very good","Very good","Very good","Very good","Good",""
"2022/12/03 4:46:44 PM GMT+5:30","Male","Western Province","1.3258","P1","Diploma","Yes","more than 3 years","No","","Yes","Yes","Very good","Good","Very good","Good","Yes","Yes","Python;Java","Average","A","B","No","","No","Good","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/03 4:46:46 PM GMT+5:30","Male","Western Province","1.4140","P3","A/Levels","Yes","Less than one year","No","","No","Yes","Average","Average","Weak","Weak","No","Yes","Pascal","Average","A","B","No","","No","Good","Satisfactory","Excellent","Very good","Average","Offer them a computer cource before starting the 1st year 1st sem"
"2022/12/03 5:01:34 PM GMT+5:30","Male","Western Province","1.56","P3","A/Levels","Yes","Less than one year","No","","No","No","Very Weak","Very Weak","Weak","Weak","No","No","Python","Very weak","B","C","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/03 5:54:25 PM GMT+5:30","Male","Sabaragamuwa Province","1.37","IS & MF","Degree","Yes","more than 3 years","No","","No","Yes","Very good","Very good","Very good","Good","No","Yes","Python","Average","B","C","No","","No","Average","Fair","Satisfactory","Satisfactory","Average",""
"2022/12/03 7:34:18 PM GMT+5:30","Male","Uva Province","1.4594","IS & MF","A/Levels","Yes","more than 3 years","Yes","A","No","Yes","Good","Good","Good","Good","No","Yes","Python","Average","A","C","No","","No","Average","Satisfactory","Satisfactory","Very good","Good",""
"2022/12/03 7:55:25 PM GMT+5:30","Female","Western Province","1.7865","P6","A/Levels","Yes","more than 3 years","Yes","A","No","Yes","Good","Average","Good","Good","Yes","Yes","Python","Average","A","A","Yes","A","No","Average","Excellent","Excellent","Excellent","Good",""
"2022/12/03 8:50:10 PM GMT+5:30","Female","North-Western Province","2.1813","MB","A/Levels","Yes","1-3 years","No","","No","Yes","Average","Weak","Average","Average","No","No","None","Very weak","A","C","No","","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/03 8:51:47 PM GMT+5:30","Male","Western Province","1.349","P6","A/Levels","Yes","more than 3 years","Yes","A","No","Yes","Good","Good","Good","Good","Yes","Yes","Python","Good","A","B","No","","No","Good","Satisfactory","Satisfactory","Satisfactory","Good","No"
"2022/12/03 10:01:43 PM GMT+5:30","Male","Western Province","1.74","P6","Diploma","Yes","more than 3 years","Yes","A","No","Yes","Average","Average","Average","Average","No","Yes","None","Average","A","A","No","","No","Good","Satisfactory","Very good","Satisfactory","Average",""
"2022/12/04 12:13:16 AM GMT+5:30","Male","Western Province","1.38","P2","Degree","Yes","1-3 years","No","","No","Yes","Average","Good","Average","Average","No","Yes","Python;None","Average","B","C","No","","No","Average","Satisfactory","Satisfactory","Very good","Average","Also iwara wechcha gaman campus enakan awuruddak dekak thiyenawa.e atarakale YouTube balala oka hadaganna puluwn.english nm subtitle ekka e kale film balala yam durakata goda daganna puluwn"
"2022/12/04 9:54:21 AM GMT+5:30","Male","Central Province","1.8278","P4","A/Levels","Yes","more than 3 years","Yes","A","No","Yes","Very good","Very good","Very good","Very good","Yes","Yes","Python","Good","A","B","No","","No","Good","Very good","Very good","Very good","Good",""
"2022/12/05 6:42:23 AM GMT+5:30","Female","Western Province","1.56","IS & MF","Degree","Yes","1-3 years","No","","Yes","Yes","Very good","Good","Good","Good","Yes","Yes","Python;C#","Average","A","B","No","","No","Good","Satisfactory","Satisfactory","Satisfactory","Good","No"
"2022/12/05 10:11:00 AM GMT+5:30","Male","Central Province","1.3226 ","P2","A/Levels","Yes","more than 3 years","No","","No","Yes","Good","Good","Good","Good","Yes","Yes","Python","Good","B","C","No","","No","Good","Very good","Satisfactory","Satisfactory","Good",""
"2022/12/06 10:24:01 PM GMT+5:30","Male","Uva Province","1.6960","P3","O/Levels or Below","Yes","more than 3 years","No","","No","Yes","Average","Average","Average","Average","No","Yes","Python","Weak","A","B","Yes","","No","Good","Satisfactory","Satisfactory","Satisfactory","Good",""
"2022/12/09 6:37:11 AM GMT+5:30","Female","Western Province","1.4933","P4","A/Levels","Yes","1-3 years","No","","No","Yes","Good","Weak","Average","Weak","Yes","Yes","Python","Weak","A","B","No","","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/09 6:40:01 AM GMT+5:30","Male","Western Province","1.3268","P6","A/Levels","Yes","1-3 years","Yes","B","Yes","No","Good","Average","Average","Average","Yes","No","Python;Java","Average","B","C","No","","Yes","Good","Fair","Fair","Satisfactory","Average",""
"2022/12/09 9:42:14 AM GMT+5:30","Female","Northern Province","1.4452","P4","A/Levels","Yes","1-3 years","Yes","A","Yes","No","Very good","Very good","Very good","Very good","Yes","Yes","Python","Good","A","B","No","","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/09 9:46:58 AM GMT+5:30","Male","Eastern Province","1.3222","IS & MF","A/Levels","Yes","1-3 years","Yes","A","Yes","Yes","Good","Good","Good","Good","Yes","Yes","Java","Good","B","B","No","","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Good",""
"2022/12/09 9:48:58 AM GMT+5:30","Male","Central Province","0.9957","Bio","A/Levels","Yes","more than 3 years","Yes","A","Yes","Yes","Average","Average","Average","Average","Yes","Yes","Java","Average","B","B","No","","Yes","Average","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/09 9:51:11 AM GMT+5:30","Female","North-Western Province","0.9542","MB","Diploma","Yes","Less than one year","Yes","A","No","Yes","Average","Average","Average","Good","Yes","No","None","Good","B","C","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Good",""
"2022/12/09 5:41:11 PM GMT+5:30","Male","Eastern Province","1.35","P6","A/Levels","Yes","Less than one year","No","","No","Yes","Good","Weak","Average","Average","No","No","None","Very weak","C","S","No","","Yes","Good","Satisfactory","Fair","Satisfactory","Average","Campus patan ganna kalin one wena dewal gana lamai danuwath kirima"
"2022/12/09 5:45:28 PM GMT+5:30","Female","Sabaragamuwa Province","1.4340","P2","Diploma","Yes","more than 3 years","Yes","A","No","Yes","Very good","Average","Good","Average","Yes","Yes","Python","Good","A","B","No","","Yes","Good","Very good","Satisfactory","Satisfactory","Good","Better to have a computer course as an EC course "
"2022/12/09 5:58:59 PM GMT+5:30","Female","Central Province","1.2575","P4","A/Levels","Yes","1-3 years","No","","No","Yes","Good","Weak","Average","Average","No","Yes","Python","Average","B","C","No","","Yes","Good","Satisfactory","Fair","Satisfactory","Average",""
"2022/12/09 6:02:14 PM GMT+5:30","Male","Uva Province","1.467","P4","A/Levels","Yes","1-3 years","No","","No","Yes","Good","Weak","Average","Good","No","No","None","Very weak","C","W","No","","Yes","Average","Fair","Poor","Fair","Average",""
"2022/12/09 6:06:30 PM GMT+5:30","Female","Eastern Province","1.3785","P4","A/Levels","Yes","1-3 years","No","","No","No","Average","Weak","Weak","Average","No","No","None","Very weak","S","W","No","","Yes","Good","Poor","Poor","Poor","Weak",""
"2022/12/09 6:08:37 PM GMT+5:30","Female","Western Province","1.5356","P2","Degree","Yes","more than 3 years","Yes","A","No","No","Good","Average","Average","Good","No","Yes","Python","Average","B","S","No","","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/09 6:11:02 PM GMT+5:30","Female","Western Province","1.4954","P4","A/Levels","Yes","1-3 years","No","","No","Yes","Good","Good","Average","Average","No","Yes","Python","Average","B","S","No","","Yes","Average","Very good","Very good","Satisfactory","Average",""
"2022/12/09 6:13:42 PM GMT+5:30","Male","Western Province","1.467","IS & MF","A/Levels","Yes","1-3 years","Yes","A","No","Yes","Good","Weak","Average","Good","No","No","None","Very weak","C","S","No","","Yes","Average","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/09 6:15:37 PM GMT+5:30","Female","Western Province","1.485","IS & MF","A/Levels","Yes","more than 3 years","No","","No","Yes","Good","Good","Average","Good","No","Yes","Python","Average","B","C","No","","Yes","Average","Satisfactory","Satisfactory","Fair","Average",""
"2022/12/09 6:17:33 PM GMT+5:30","Male","Western Province","1.54","IS & MF","O/Levels or Below","Yes","1-3 years","No","","No","Yes","Good","Weak","Average","Average","No","Yes","Java","Average","C","C","Yes","","Yes","Good","Fair","Satisfactory","Satisfactory","Average",""
"2022/12/09 6:22:25 PM GMT+5:30","Female","Southern Province","1.489","IS & MF","A/Levels","Yes","1-3 years","Yes","A","No","No","Good","Average","Average","Average","No","No","None","Very weak","C","S","No","","Yes","Average","Satisfactory","Fair","Fair","Average",""
"2022/12/09 6:24:58 PM GMT+5:30","Male","Western Province","1.4658","IS & MF","A/Levels","Yes","1-3 years","Yes","A","Yes","Yes","Very good","Good","Average","Good","Yes","Yes","Python;JavaScript","Good","A","C","No","","Yes","Good","Very good","Satisfactory","Satisfactory","Good","It's better to have computer related activities during the orientation "
"2022/12/09 6:27:45 PM GMT+5:30","Male","Central Province","1.345","IS & MF","A/Levels","Yes","1-3 years","No","","No","Yes","Good","Average","Average","Average","No","Yes","Python","Average","B","C","No","","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Average","Academic waladi pawichchi wena wachana eka eka course waladi wenama dunna nam hondai"
"2022/12/09 6:30:00 PM GMT+5:30","Female","North-Western Province","1.43","IS & MF","A/Levels","Yes","1-3 years","No","","No","Yes","Good","Average","Average","Average","No","No","None","Very weak","B","S","No","","Yes","Average","Satisfactory","Fair","Satisfactory","Average",""
"2022/12/09 6:31:35 PM GMT+5:30","Female","Western Province","1.52","IS & MF","Higher","Yes","more than 3 years","No","","Yes","Yes","Good","Average","Average","Good","Yes","Yes","Python","Good","A","C","No","","Yes","Good","Very good","Very good","Satisfactory","Good",""
"2022/12/09 6:33:24 PM GMT+5:30","Male","Western Province","1.74","MB","A/Levels","Yes","1-3 years","No","","No","Yes","Good","Weak","Average","Good","No","No","None","Very weak","A","C","No","","Yes","Good","Very good","Very good","Very good","Good",""
"2022/12/09 7:08:16 PM GMT+5:30","Male","Western Province","1.7465","Bio","A/Levels","Yes","1-3 years","Yes","A","No","No","Good","Very Weak","Average","Good","No","No","None","Very weak","A","C","No","","No","Good","Very good","Satisfactory","Satisfactory","Good",""
"2022/12/09 7:09:44 PM GMT+5:30","Female","Southern Province","1.72","Bio","Diploma","Yes","1-3 years","No","","No","No","Good","Very Weak","Weak","Good","No","No","None","Very weak","B","S","No","","Yes","Average","Satisfactory","Satisfactory","Fair","Average",""
"2022/12/09 7:11:11 PM GMT+5:30","Female","Sabaragamuwa Province","1.68","Bio","A/Levels","Yes","more than 3 years","No","","No","Yes","Good","Very Weak","Average","Good","No","No","None","Very weak","B","C","No","","Yes","Good","Satisfactory","Very good","Satisfactory","Good",""
"2022/12/10 10:24:03 AM GMT+5:30","Female","Western Province","1.4493","P6","Degree","Yes","more than 3 years","Yes","C","Yes","Yes","Very good","Weak","Average","Weak","No","No","None","Very weak","B","B","No","","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Average","It would be better if an IT course can be conducted before starting the academics."
"2022/12/10 10:28:57 AM GMT+5:30","Female","Western Province","1.3954","P4","A/Levels","Yes","1-3 years","No","","Yes","No","Good","Very Weak","Weak","Weak","No","No","None","Very weak","C","C","No","","Yes","Very good","Very good","Very good","Very good","Average","No"
"2022/12/10 10:33:59 AM GMT+5:30","Male","Western Province","1.3682","P3","A/Levels","Yes","more than 3 years","No","","Yes","No","Good","Weak","Average","Very weak","Yes","No","Python","Average","B","S","No","","No","Good","Satisfactory","Very good","Satisfactory","Average",""
"2022/12/10 10:38:33 AM GMT+5:30","Female","Western Province","1.4988","P4","Diploma","Yes","more than 3 years","Yes","C","Yes","No","Very good","Weak","Good","Average","No","No","None","Weak","A","B","Yes","C","Yes","Very good","Very good","Very good","Satisfactory","Good",""
"2022/12/10 11:01:53 AM GMT+5:30","Male","Central Province","1.21","P1","A/Levels","Yes","Less than one year","No","","Yes","No","Good","Very Weak","Very Weak","Weak","No","No","None","Very weak","C","S","No","","Yes","Good","Fair","Fair","Fair","Weak",""
"2022/12/10 11:07:03 AM GMT+5:30","Female","Sabaragamuwa Province","1.2911","P6","A/Levels","Yes","1-3 years","No","","No","Yes","Good","Weak","Average","Average","Yes","Yes","Java","Average","C","C","No","","Yes","Average","Very good","Satisfactory","Satisfactory","Average",""
"2022/12/10 11:29:42 AM GMT+5:30","Male","Western Province","1.4296","P2","Degree","Yes","more than 3 years","Yes","B","Yes","Yes","Good","Very Weak","Average","Average","No","No","None","Very weak","B","C","No","","No","Good","Very good","Very good","Satisfactory","Average",""
"2022/12/10 11:51:55 AM GMT+5:30","Female","Western Province","1.4522","P6","Diploma","Yes","more than 3 years","No","","Yes","No","Very good","Average","Good","Good","Yes","Yes","Python;Java","Good","A","B","Yes","B","Yes","Very good","Very good","Very good","Very good","Good",""
"2022/12/10 1:02:06 PM GMT+5:30","Male","Western Province","1.4766","P3","A/Levels","Yes","more than 3 years","No","","Yes","No","Very good","Weak","Good","Good","No","No","None","Very weak","C","C","No","","Yes","Good","Satisfactory","Satisfactory","Fair","Average",""
"2022/12/10 1:05:51 PM GMT+5:30","Female","Western Province","1.5236","P6","Degree","Yes","more than 3 years","Yes","B","Yes","Yes","Very good","Average","Average","Good","Yes","No","Python;JavaScript","Good","A","B","Yes","B","Yes","Very good","Very good","Satisfactory","Very good","Good",""
"2022/12/10 2:37:32 PM GMT+5:30","Female","Southern Province","1.5023","Bio","A/Levels","Yes","1-3 years","No","","No","Yes","Good","Very Weak","Weak","Very weak","No","No","None","Very weak","A","C","No","","Yes","Good","Very good","Satisfactory","Satisfactory","Average",""
"2022/12/10 2:41:12 PM GMT+5:30","Male","Western Province","1.6233","P4","A/Levels","Yes","more than 3 years","No","","Yes","No","Good","Weak","Average","Weak","Yes","No","Python","Weak","B","C","Yes","S","Yes","Very good","Very good","Very good","Satisfactory","Good",""
"2022/12/10 2:45:34 PM GMT+5:30","Female","Western Province","1.4985","P6","Degree","Yes","more than 3 years","Yes","B","No","Yes","Good","Good","Good","Good","No","No","None","Very weak","A","B","No","","Yes","Average","Very good","Satisfactory","Fair","Average","Conduct some workshops to improve our programming knowledge "
"2022/12/10 2:48:55 PM GMT+5:30","Female","Western Province","1.7896","MB","Higher","Yes","more than 3 years","No","","Yes","No","Good","Very Weak","Weak","Average","No","No","None","Very weak","A","A","Yes","B","No","Very good","Very good","Very good","Very good","Good",""
"2022/12/10 2:52:18 PM GMT+5:30","Male","Western Province","1.4732","P2","A/Levels","Yes","Less than one year","No","","No","Yes","Good","Very Weak","Average","Weak","No","No","None","Weak","C","S","No","","Yes","Good","Satisfactory","Fair","Fair","Weak",""
"2022/12/10 2:56:48 PM GMT+5:30","Male","North-Western Province","1.4755","Bio","A/Levels","Yes","Less than one year","No","","Yes","No","Good","Weak","Weak","Weak","No","Yes","Python","Average","B","C","No","","No","Very good","Satisfactory","Satisfactory","Fair","Average",""
"2022/12/10 3:00:00 PM GMT+5:30","Female","Western Province","1.5211","P1","Diploma","Yes","more than 3 years","Yes","C","Yes","No","Very good","Average","Good","Good","No","No","None","Very weak","C","S","No","","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/10 3:03:07 PM GMT+5:30","Male","Western Province","1.4921","P5","A/Levels","Yes","1-3 years","No","","Yes","Yes","Very good","Very Weak","Average","Average","No","Yes","JavaScript","Weak","B","B","No","","No","Good","Very good","Very good","Satisfactory","Average",""
"2022/12/10 3:09:20 PM GMT+5:30","Male","Western Province","1.5931","IS & MF","Diploma","Yes","more than 3 years","Yes","B","Yes","No","Good","Weak","Average","Average","No","No","None","Very weak","A","B","Yes","C","Yes","Very good","Very good","Very good","Very good","Good",""
"2022/12/10 3:13:30 PM GMT+5:30","Female","Sabaragamuwa Province","1.4452","IS & MF","A/Levels","Yes","more than 3 years","No","","No","Yes","Good","Very Weak","Weak","Weak","No","No","None","Very weak","B","B","No","","Yes","Average","Very good","Satisfactory","Satisfactory","Average","Conduct some basic computer and programming courses "
"2022/12/10 5:44:19 PM GMT+5:30","Female","Western Province","1.3525","IS & MF","A/Levels","Yes","more than 3 years","Yes","A","No","Yes","Very good","Good","Average","Good","No","No","None","Weak","A","A","No","","Yes","Good","Very good","Very good","Very good","Good",""
"2022/12/10 5:52:14 PM GMT+5:30","Female","Western Province","1.3248","IS & MF","Degree","Yes","more than 3 years","No","","No","Yes","Very good","Average","Average","Average","No","Yes","None","Weak","A","B","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Average","to have a computer course "
"2022/12/10 5:55:51 PM GMT+5:30","Female","Western Province","1.5841","IS & MF","A/Levels","Yes","1-3 years","Yes","A","No","Yes","Good","Average","Average","Average","Yes","Yes","Python","Average","A","A","Yes","A","No","Average","Very good","Very good","Very good","Good",""
"2022/12/10 6:01:05 PM GMT+5:30","Female","Western Province","1.3215","P4","A/Levels","Yes","more than 3 years","Yes","A","No","Yes","Good","Good","Good","Good","No","Yes","None","Weak","B","B","No","","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/10 6:06:08 PM GMT+5:30","Female","Western Province","1.4426","P6","Degree","Yes","more than 3 years","Yes","B","No","Yes","Good","Average","Good","Good","Yes","Yes","Python","Average","B","B","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Average","improve English course conduct by university"
"2022/12/10 6:08:51 PM GMT+5:30","Female","Western Province","1.8821","P6","Degree","Yes","more than 3 years","Yes","A","No","Yes","Good","Good","Good","Good","Yes","Yes","Python","Average","A","A","Yes","A","No","Good","Very good","Very good","Very good","Good",""
"2022/12/10 6:11:55 PM GMT+5:30","Female","Western Province","1.6542","Bio","A/Levels","Yes","1-3 years","No","","No","No","Average","Weak","Weak","Average","No","No","None","Very weak","A","A","No","","No","Average","Satisfactory","Satisfactory","Satisfactory","Average",""
"2022/12/10 6:16:38 PM GMT+5:30","Female","Western Province","1.5521","Bio","A/Levels","Yes","Less than one year","No","","No","No","Weak","Weak","Weak","Weak","No","No","None","Very weak","A","A","Yes","A","No","Average","Very good","Very good","Very good","Good",""
"2022/12/10 8:37:05 PM GMT+5:30","Female","Western Province","1.63","IS & MF","Higher","Yes","more than 3 years","No","","Yes","Yes","Good","Average","Average","Average","Yes","Yes","Python","Average","A","B","No","","Yes","Average","Satisfactory","Satisfactory","Satisfactory","Good",""
"2022/12/10 8:42:35 PM GMT+5:30","Female","Western Province","1.51","Bio","Degree","Yes","1-3 years","No","","Yes","No","Good","Average","Average","Average","No","No","None","Average","A","A","Yes","B","Yes","Good","Very good","Satisfactory","Very good","Good",""
"2022/12/10 8:46:12 PM GMT+5:30","Female","Western Province","1.59","P1","A/Levels","Yes","Less than one year","Yes","A","Yes","Yes","Good","Average","Average","Good","Yes","Yes","Python;JavaScript","Good","A","B","Yes","B","Yes","Good","Very good","Very good","Very good","Good",""
"2022/12/10 8:50:18 PM GMT+5:30","Male","Western Province","1.97","MB","Diploma","Yes","Less than one year","Yes","A","Yes","Yes","Good","Good","Good","Good","Yes","Yes","Python;JavaScript","Good","A","A","No","","Yes","Good","Satisfactory","Satisfactory","Satisfactory","Good",""
"2022/12/10 8:52:38 PM GMT+5:30","Male","Southern Province","1.87","P2","O/Levels or Below","Yes","Less than one year","Yes","A","Yes","Yes","Good","Good","Good","Good","Yes","Yes","Python;Java;JavaScript","Good","A","A","Yes","A","No","Good","Satisfactory","Satisfactory","Satisfactory","Good",""
